Date,Network,Post Type,Content Type,Linked Content,Impressions,Organic Impressions,Paid Impressions,Reach,Organic Reach,Paid Reach,Potential Reach,Engagement Rate (per Impression),Engagements,Reactions,Likes,Dislikes,Love Reactions,Haha Reactions,Wow Reactions,Sad Reactions,Angry Reactions,Comments,Shares,Saves,Post Link Clicks,SproutLink Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Subscribers Gained from Video,Annotation Clicks,Card Clicks,Video Views,Organic Video Views,Paid Video Views,Partial Video Views,Organic Partial Video Views,Paid Partial Video Views,Full Video Views,Organic Full Video Views,Paid Full Video Views,Full Video View Rate,Follow Video Views,For You Video Views,Hashtag Video Views,Business Account Video Views,Others Video Views,Search Video Views,Sound Video Views,Unspecified Video Views,Estimated Minutes Watched,Story Taps Back,Story Taps Forward,Story Exits,Story Replies,Video Added to Playlists,Subscribers Lost from Video,Video Removed from Playlists,Average Video Time Watched (Seconds),Poll Votes,Tags
10/16/25 11:11,Instagram,Post,Photo,,"42,289","42,289",,"16,368","16,368",,,2.48%,"1,050",921,921,,,,,,,2,112,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Access/Affordability, Alumni/Donors"
4/10/25 16:08,Instagram,Reel,Video,,"17,345","17,345",,"8,913","8,913",,,5.93%,"1,028",777,777,,,,,,,6,231,14,,,,,,,,,"17,345","17,345",,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/25 12:58,Instagram,Post,Carousel,,"35,630","35,630",,"9,881","9,881",,,2.74%,976,910,910,,,,,,,0,55,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community Engagement, Student Life"
8/22/25 22:32,Instagram,Post,Carousel,,"44,458","44,458",,"14,104","14,104",,,2.14%,950,800,800,,,,,,,4,135,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/25 8:52,Instagram,Post,Photo,,"15,181","15,181",,"11,073","11,073",,,6.20%,941,924,924,,,,,,,6,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/25 9:13,Instagram,Post,Carousel,,"34,082","34,082",,"9,730","9,730",,,2.71%,923,820,820,,,,,,,5,83,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/25 15:07,Instagram,Reel,Video,,"19,457","19,457",,"11,151","11,151",,,4.71%,917,825,825,,,,,,,7,73,12,,,,,,,,,"19,457","19,457",,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/25 17:07,Instagram,Post,Carousel,,"16,096","16,096",,"8,825","8,825",,,5.51%,887,863,863,,,,,,,5,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student Life
7/24/25 11:04,Instagram,Post,Carousel,,"18,650","18,650",,"5,515","5,515",,,4.56%,850,820,820,,,,,,,1,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/25 10:44,Instagram,Post,Carousel,,"30,706","30,706",,"9,468","9,468",,,2.73%,839,773,773,,,,,,,0,61,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community Engagement, Student Life"
10/31/25 9:48,Instagram,Post,Carousel,,"24,985","24,985",,"6,643","6,643",,,3.27%,818,785,785,,,,,,,3,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/25 10:10,Instagram,Post,Carousel,,"24,871","24,871",,"7,684","7,684",,,3.28%,815,771,771,,,,,,,1,38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/25 8:34,Instagram,Post,Carousel,,"31,329","31,329",,"8,735","8,735",,,2.59%,812,748,748,,,,,,,1,57,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/25 10:30,Instagram,Post,Carousel,,"12,587","12,587",,"6,337","6,337",,,6.44%,811,785,785,,,,,,,0,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/25 14:55,Instagram,Post,Carousel,,"17,035","17,035",,"7,260","7,260",,,4.74%,808,773,773,,,,,,,6,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/25 9:51,Instagram,Post,Carousel,,"36,456","36,456",,"9,017","9,017",,,2.17%,792,767,767,,,,,,,3,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering
12/1/25 13:23,Instagram,Post,Carousel,,"20,090","20,090",,"6,819","6,819",,,3.91%,785,738,738,,,,,,,2,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/25 11:50,Instagram,Post,Carousel,,"17,239","17,239",,"8,373","8,373",,,4.50%,775,627,627,,,,,,,0,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/25 9:52,Instagram,Reel,Video,,"14,456","14,456",,"9,088","9,088",,,5.22%,754,666,666,,,,,,,0,74,14,,,,,,,,,"14,456","14,456",,,,,,,,,,,,,,,,,,,,,,,,,,,
10/28/25 10:19,Instagram,Post,Carousel,,"31,274","31,274",,"8,090","8,090",,,2.36%,737,695,695,,,,,,,1,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talent Pipeline
8/29/25 15:15,Instagram,Post,Carousel,,"30,402","30,402",,"8,796","8,796",,,2.41%,733,699,699,,,,,,,2,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/25 10:05,Instagram,Post,Carousel,,"9,603","9,603",,"4,935","4,935",,,7.56%,726,692,692,,,,,,,3,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
9/2/25 10:29,Instagram,Post,Carousel,,"27,213","27,213",,"7,570","7,570",,,2.66%,724,693,693,,,,,,,2,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/25 11:01,Instagram,Post,Carousel,,"27,059","27,059",,"7,945","7,945",,,2.65%,716,652,652,,,,,,,1,49,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/25 13:29,Instagram,Reel,Video,,"18,894","18,894",,"10,535","10,535",,,3.78%,715,627,627,,,,,,,6,67,15,,,,,,,,,"18,894","18,894",,,,,,,,,,,,,,,,,,,,,,,,,,,
8/6/25 9:20,Instagram,Post,Carousel,,"29,291","29,291",,"8,437","8,437",,,2.43%,713,688,688,,,,,,,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/25 14:17,Instagram,Reel,Video,,"20,629","20,629",,"10,127","10,127",,,3.45%,711,638,638,,,,,,,7,58,8,,,,,,,,,"20,629","20,629",,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/25 12:07,Instagram,Post,Carousel,,"40,094","40,094",,"8,549","8,549",,,1.74%,696,656,656,,,,,,,2,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/25 12:13,Instagram,Post,Carousel,,"20,632","20,632",,"4,487","4,487",,,3.34%,689,668,668,,,,,,,4,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
7/2/25 15:41,Instagram,Reel,Video,,"13,007","13,007",,"8,187","8,187",,,5.29%,688,623,623,,,,,,,3,46,16,,,,,,,,,"13,007","13,007",,,,,,,,,,,,,,,,,,,,,,,,,,,Paid Applied Learning
6/10/25 12:47,Instagram,Post,Carousel,,"18,370","18,370",,"6,959","6,959",,,3.71%,682,659,659,,,,,,,5,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/25 12:01,Instagram,Post,Carousel,,"13,897","13,897",,"6,262","6,262",,,4.86%,676,652,652,,,,,,,4,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/25 10:56,Instagram,Post,Carousel,,"32,530","32,530",,"6,733","6,733",,,2.06%,670,638,638,,,,,,,0,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/25 10:21,Instagram,Post,Carousel,,"30,519","30,519",,"8,199","8,199",,,2.18%,666,615,615,,,,,,,5,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/25 15:12,Instagram,Post,Photo,,"24,388","24,388",,"8,745","8,745",,,2.73%,666,614,614,,,,,,,0,45,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alumni/Donors, Engineering"
9/18/25 12:10,Instagram,Post,Carousel,,"34,606","34,606",,"8,870","8,870",,,1.92%,663,628,628,,,,,,,1,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community Engagement, Student Life"
4/4/25 11:39,Instagram,Post,Carousel,,"14,278","14,278",,"6,513","6,513",,,4.64%,663,613,613,,,,,,,2,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community Engagement
5/18/25 17:35,Instagram,Post,Carousel,,"17,059","17,059",,"8,174","8,174",,,3.83%,654,625,625,,,,,,,8,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/25 11:25,Instagram,Post,Carousel,,"23,543","23,543",,"6,406","6,406",,,2.75%,647,575,575,,,,,,,1,65,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Applied Studies, WSU Views"
9/11/25 8:00,Instagram,Post,Photo,,"10,480","10,480",,"4,523","4,523",,,6.09%,638,576,576,,,,,,,31,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
8/7/25 11:32,Instagram,Reel,Video,,"14,257","14,257",,"7,162","7,162",,,4.45%,635,517,517,,,,,,,6,92,20,,,,,,,,,"14,257","14,257",,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/25 10:20,Instagram,Post,Carousel,,"28,710","28,710",,"7,957","7,957",,,2.13%,612,582,582,,,,,,,4,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/25 12:47,Instagram,Post,Carousel,,"14,948","14,948",,"6,538","6,538",,,4.05%,606,582,582,,,,,,,4,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering
3/16/25 15:34,Instagram,Post,Carousel,,"11,532","11,532",,"5,796","5,796",,,5.25%,606,513,513,,,,,,,1,66,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community Engagement
3/3/25 13:15,Instagram,Post,Photo,,"10,357","10,357",,"7,055","7,055",,,5.85%,606,531,531,,,,,,,1,67,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Campus Communication
7/9/25 9:12,Instagram,Post,Carousel,,"22,964","22,964",,"6,695","6,695",,,2.59%,595,568,568,,,,,,,3,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/25 14:04,Instagram,Post,Carousel,,"13,604","13,604",,"6,763","6,763",,,4.31%,587,581,581,,,,,,,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/5/25 15:06,Instagram,Reel,Video,,"14,803","14,803",,"9,249","9,249",,,3.96%,586,564,564,,,,,,,9,8,5,,,,,,,,,"14,803","14,803",,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/25 12:25,Instagram,Post,Photo,,"21,252","21,252",,"8,657","8,657",,,2.73%,581,559,559,,,,,,,3,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alumni/Donors, Student Life"
1/8/25 16:23,Instagram,Post,Photo,,"12,982","12,982",,"7,717","7,717",,,4.44%,577,550,550,,,,,,,1,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/25 9:00,Instagram,Post,Carousel,,"13,605","13,605",,"6,907","6,907",,,4.21%,573,538,538,,,,,,,5,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment/Registration
3/14/25 11:23,Instagram,Post,Carousel,,"14,631","14,631",,"7,410","7,410",,,3.91%,572,526,526,,,,,,,0,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/21/25 13:35,Instagram,Post,Carousel,,"16,196","16,196",,"6,917","6,917",,,3.51%,568,541,541,,,,,,,2,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Growing Innovation/Research, Liberal Arts and Sciences"
10/7/25 9:35,Instagram,Reel,Video,,"26,561","26,561",,"7,740","7,740",,,2.10%,558,519,519,,,,,,,2,34,3,,,,,,,,,"26,561","26,561",,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/25 8:31,Instagram,Post,Carousel,,"15,017","15,017",,"7,995","7,995",,,3.70%,556,547,547,,,,,,,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/25 12:40,Instagram,Reel,Video,,"18,538","18,538",,"8,988","8,988",,,2.95%,547,458,458,,,,,,,20,54,15,,,,,,,,,"18,538","18,538",,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/25 11:10,Instagram,Reel,Video,,"14,629","14,629",,"9,187","9,187",,,3.56%,521,483,483,,,,,,,0,31,7,,,,,,,,,"14,629","14,629",,,,,,,,,,,,,,,,,,,,,,,,,,,
7/11/25 10:10,Instagram,Post,Carousel,,"23,699","23,699",,"6,739","6,739",,,2.16%,511,487,487,,,,,,,1,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/25 11:10,Instagram,Reel,Video,,"13,156","13,156",,"7,434","7,434",,,3.87%,509,391,391,,,,,,,8,105,5,,,,,,,,,"13,156","13,156",,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/25 10:52,Instagram,Reel,Video,,"14,099","14,099",,"8,344","8,344",,,3.59%,506,440,440,,,,,,,0,43,23,,,,,,,,,"14,099","14,099",,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/25 9:56,Instagram,Post,Photo,,"12,101","12,101",,"5,678","5,678",,,4.16%,503,491,491,,,,,,,0,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/6/25 10:07,Instagram,Post,Carousel,,"16,683","16,683",,"4,173","4,173",,,3%,501,477,477,,,,,,,6,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
9/4/25 12:15,Instagram,Post,Carousel,,"25,562","25,562",,"6,142","6,142",,,1.95%,499,482,482,,,,,,,0,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
8/5/25 11:15,Instagram,Post,Photo,,"25,122","25,122",,"7,909","7,909",,,1.96%,493,452,452,,,,,,,1,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment/Registration
8/18/25 11:16,Instagram,Post,Photo,,"22,923","22,923",,"6,708","6,708",,,2.15%,492,457,457,,,,,,,2,27,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/25 10:57,Instagram,Post,Carousel,,"12,671","12,671",,"4,694","4,694",,,3.84%,486,456,456,,,,,,,1,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/25 11:52,Instagram,Post,Photo,,"20,450","20,450",,"8,544","8,544",,,2.38%,486,451,451,,,,,,,4,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/29/25 10:35,Instagram,Post,Carousel,,"22,981","22,981",,"6,555","6,555",,,2.11%,484,456,456,,,,,,,1,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/25 15:08,Instagram,Post,Carousel,,"14,929","14,929",,"6,163","6,163",,,3.24%,483,474,474,,,,,,,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/25 9:14,Instagram,Post,Carousel,,"22,722","22,722",,"8,170","8,170",,,2.11%,480,421,421,,,,,,,19,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student Life
12/8/25 10:35,Instagram,Reel,Video,,"9,073","9,073",,"5,186","5,186",,,5.28%,479,442,442,,,,,,,1,32,4,,,,,,,,,"9,073","9,073",,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/25 9:25,Instagram,Post,Carousel,,"24,029","24,029",,"7,465","7,465",,,1.97%,473,439,439,,,,,,,17,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/12/25 12:38,Instagram,Reel,Video,,"12,340","12,340",,"7,043","7,043",,,3.82%,472,423,423,,,,,,,4,31,14,,,,,,,,,"12,340","12,340",,,,,,,,,,,,,,,,,,,,,,,,,,,Paid Applied Learning
6/23/25 11:54,Instagram,Post,Carousel,,"19,690","19,690",,"5,412","5,412",,,2.40%,472,454,454,,,,,,,3,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
10/21/25 10:19,Instagram,Post,Carousel,,"24,263","24,263",,"6,418","6,418",,,1.93%,468,416,416,,,,,,,6,41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/25 11:48,Instagram,Post,Carousel,,"16,540","16,540",,"5,800","5,800",,,2.82%,466,451,451,,,,,,,0,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alumni/Donors, Student Life"
12/12/25 12:46,Instagram,Post,Photo,,"23,643","23,643",,"8,181","8,181",,,1.95%,461,433,433,,,,,,,7,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/25 13:12,Instagram,Post,Carousel,,"13,178","13,178",,"5,890","5,890",,,3.50%,461,446,446,,,,,,,5,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/22/25 14:13,Instagram,Post,Photo,,"29,768","29,768",,"8,486","8,486",,,1.53%,456,343,343,,,,,,,24,82,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/25 9:56,Instagram,Post,Photo,,"18,778","18,778",,"6,376","6,376",,,2.40%,451,423,423,,,,,,,2,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/25 11:25,Instagram,Post,Photo,,"21,420","21,420",,"6,838","6,838",,,2.08%,446,415,415,,,,,,,2,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/25 8:14,Instagram,Reel,Video,,"10,294","10,294",,"6,711","6,711",,,4.27%,440,405,405,,,,,,,2,31,2,,,,,,,,,"10,294","10,294",,,,,,,,,,,,,,,,,,,,,,,,,,,Observances
3/28/25 14:02,Instagram,Post,Photo,,"10,987","10,987",,"7,245","7,245",,,3.96%,435,428,428,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial Aid/Scholarship
12/17/25 12:02,Instagram,Post,Carousel,,"11,841","11,841",,"3,821","3,821",,,3.63%,430,412,412,,,,,,,3,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
7/28/25 11:15,Instagram,Post,Carousel,,"24,132","24,132",,"6,306","6,306",,,1.77%,426,413,413,,,,,,,0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/25 19:38,Instagram,Post,Photo,,"12,299","12,299",,"4,704","4,704",,,3.45%,424,405,405,,,,,,,2,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/25 13:44,Instagram,Post,Photo,,"8,886","8,886",,"5,845","5,845",,,4.76%,423,397,397,,,,,,,1,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enrollment/Registration
8/1/25 15:28,Instagram,Post,Carousel,,"24,287","24,287",,"7,223","7,223",,,1.73%,421,405,405,,,,,,,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/25 11:11,Instagram,Post,Carousel,,"20,989","20,989",,"4,991","4,991",,,2%,420,404,404,,,,,,,0,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student Life
5/13/25 15:08,Instagram,Post,Carousel,,"13,244","13,244",,"6,335","6,335",,,3.16%,419,406,406,,,,,,,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business
4/24/25 12:55,Instagram,Post,Carousel,,"12,269","12,269",,"5,706","5,706",,,3.39%,416,389,389,,,,,,,0,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/25 10:40,Instagram,Reel,Video,,"11,482","11,482",,"6,263","6,263",,,3.62%,416,382,382,,,,,,,0,23,11,,,,,,,,,"11,482","11,482",,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/25 12:55,Instagram,Reel,Video,,"11,983","11,983",,"6,647","6,647",,,3.45%,413,357,357,,,,,,,1,43,12,,,,,,,,,"11,983","11,983",,,,,,,,,,,,,,,,,,,,,,,,,,,Student Life
8/4/25 11:53,Instagram,Post,Carousel,,"24,495","24,495",,"6,571","6,571",,,1.67%,410,400,400,,,,,,,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/25 11:13,Instagram,Reel,Video,,"13,277","13,277",,"6,742","6,742",,,3.03%,402,331,331,,,,,,,2,60,9,,,,,,,,,"13,277","13,277",,,,,,,,,,,,,,,,,,,,,,,,,,,Student Life
4/8/25 13:08,Instagram,Post,Carousel,,"13,476","13,476",,"6,821","6,821",,,2.95%,397,380,380,,,,,,,1,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athletics, Paid Applied Learning"
12/20/25 10:40,Instagram,Post,Carousel,,"19,518","19,518",,"6,745","6,745",,,2.02%,395,347,347,,,,,,,0,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alumni/Donors, Student Life"
7/7/25 10:03,Instagram,Post,Carousel,,"17,912","17,912",,"4,734","4,734",,,2.19%,393,378,378,,,,,,,1,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
3/25/25 16:01,Instagram,Post,Carousel,,"13,635","13,635",,"6,832","6,832",,,2.88%,393,381,381,,,,,,,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Athletics, Community Engagement"
9/24/25 11:01,Instagram,Post,Carousel,,"20,282","20,282",,"4,785","4,785",,,1.93%,392,372,372,,,,,,,0,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student Life
8/18/25 9:33,Instagram,Reel,Video,,"13,758","13,758",,"6,533","6,533",,,2.85%,392,372,372,,,,,,,1,14,5,,,,,,,,,"13,758","13,758",,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/25 11:04,Instagram,Reel,Video,,"16,517","16,517",,"8,591","8,591",,,2.36%,389,361,361,,,,,,,2,21,5,,,,,,,,,"16,517","16,517",,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/25 9:30,Instagram,Post,Carousel,,"19,482","19,482",,"4,744","4,744",,,1.98%,386,295,295,,,,,,,2,67,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community Engagement, Student Life"
9/9/25 12:59,Instagram,Post,Carousel,,"17,800","17,800",,"3,702","3,702",,,2.15%,383,366,366,,,,,,,5,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Student Life
8/25/25 11:51,Instagram,Post,Carousel,,"18,602","18,602",,"4,417","4,417",,,2.06%,383,364,364,,,,,,,1,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
